Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,35,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,35,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,18,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,40,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,30,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,15,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,30,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,19,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,39,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,41,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,12,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Enemy,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,35,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,35,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,18,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,40,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,30,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,15,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,34,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,30,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,33,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,19,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,31,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,39,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,41,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,32,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,12,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,36,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,17,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,37,45,1.0
Iris,setosa vs rest,lr,{},1.0,1.0,Leafage: Closest Boundary,16,45,1.0
